"e401","p401","tw_adjust_original","net_tfa_adjust_original","net_nifa","age","inc","db","ira","hequity","educ","fsize","marr","male","twoearn","withdrawal"
0,0,53550,-3300,146700,31,28145,0,0,8850,12,5,1,0,0,0
0,0,124635,61010,211010,52,32633,0,0,58000,16,5,0,0,0,0
0,0,192949,8849,157049,50,52205,0,1800,184100,11,3,1,1,1,0
0,0,-513,-6013,143987,28,45251,0,0,0,15,4,1,0,1,0
0,0,212087,-2375,147625,42,33125,1,0,210000,12,3,0,0,0,0
0,0,24400,-11000,139000,49,76859,1,0,20400,15,5,1,0,1,0
0,0,33299,-16901,133099,40,57476,1,0,26000,17,4,1,0,1,0
0,0,2500,1000,151000,58,14636,0,0,0,14,1,0,0,0,0
0,0,52625,24900,166900,45,43238,1,8000.00000000001,15000,12,1,0,1,0,0
0,0,-675,-675,149325,25,40322,0,0,0,12,3,1,1,1,0
0,0,8100,-400,149600,30,29999,0,0,0,14,2,1,0,0,0
0,0,2250,-83,149917,27,9611,0,0,0,17,1,0,0,0,0
0,0,59519,35400,151400,42,85085,0,34000,11765,12,4,1,1,1,0
0,0,18900,-100,149900,35,32207,0,0,0,13,2,1,0,1,0
0,0,64800,62300,210000,35,63524,0,2300,0,18,1,0,0,0,0
0,0,15112,-3888,146112,41,31895,0,0,0,12,5,1,0,0,0
0,0,1445,20,150020,53,9743.00000000001,0,0,0,12,1,1,0,0,0
0,0,123098,3098,153098,62,74588,1,0,120000,16,3,1,0,0,1
0,0,43258,205,150205,45,38147,0,0,0,11,1,0,1,0,0
0,0,2863,2863,152863,56,16289,0,0,0,12,1,0,0,0,0
0,0,0,0,150000,31,11339,0,0,0,12,1,0,1,0,0
0,0,789,-2171,147829,31,26174,0,0,0,13,5,1,1,1,0
0,0,660413,360413,460163,63,71534,0,50250,3e+05,18,2,1,0,0,1
0,0,35999,499,150499,56,21677,1,0,35000,13,1,0,0,0,0
0,0,72300,-1700,148300,58,29723,1,0,65000,12,3,1,0,1,0
0,0,346394,53698,203698,42,42083,1,0,198000,16,1,0,1,0,0
0,0,124000,26000,162000,35,71339,0,14000,98000,14,2,1,1,1,0
0,0,1000,1000,151000,61,35099,0,0,0,12,5,0,0,0,1
0,0,7420,-2580,147420,62,15050,0,0,10000,10,2,1,0,0,1
0,0,77570,-2430,147570,48,14327,0,0,80000,12,3,1,0,1,0
0,0,116515,8215,156100,28,68213,0,2115,0,14,3,1,0,0,0
0,0,78550,18700,166700,51,30029,1,2000,53000,12,3,0,1,0,0
0,0,74400,-2600,147400,45,9314,0,0,75000,14,2,0,0,0,0
0,0,-1393,-1393,148607,28,45350,0,0,0,12,2,1,0,1,0
0,0,1250,-800,149200,39,22094,0,0,0,16,1,0,0,0,0
0,0,63399,8399,150399,42,47933,1,8000.00000000001,55000,17,4,1,0,1,0
0,0,275240,-11760,138240,43,27167,0,0,227000,7,5,1,0,0,0
0,0,38236,-470,149530,31,38150,0,0,37081,12,2,0,1,0,0
0,0,25380,3880,153880,28,41609,1,0,19000,14,4,1,0,1,0
0,0,2125,-4220,145780,39,31847,1,0,0,15,4,1,0,1,0
0,0,3000,3000,150000,60,37793,0,3000,0,13,2,1,0,1,1
0,0,125947,19947,155947,58,38948,0,14000,56000,12,2,1,0,0,0
0,0,5249,5249,155249,30,31097,0,0,0,16,1,0,0,0,0
0,0,-1501,-8501,141499,32,53699,0,0,0,16,4,1,1,1,0
